CP3,C3,F5,PO3,PO4,F6,C4,CP4
10799.4453125,10802.7978515625,10801.92578125,10795.9580078125,10797.7685546875,10800.7861328125,10800.7861328125,10796.5615234375
-1094.14013671875,-1047.201416015625,-1054.5775146484375,-1091.92724609375,-1130.6851806640625,-1115.865966796875,-1147.851318359375,-1135.6473388671875
-1120.3587646484375,-1145.0350341796875,-1116.6036376953125,-1132.8309326171875,-1148.454833984375,-1156.90380859375,-1126.7960205078125,-1174.941650390625
18640.34765625,18635.25,18653.01953125,18650.337890625,18634.04296875,18619.4921875,18620.6328125,18623.046875
18632.904296875,18631.49609375,18633.841796875,18634.580078125,18642.560546875,18641.755859375,18640.548828125,18634.513671875
24143.837890625,24135.388671875,24150.744140625,24153.0234375,24138.47265625,24118.826171875,24114.802734375,24110.578125
24120.30078125,24121.642578125,24119.294921875,24115.00390625,24124.123046875,24121.373046875,24112.12109375,24101.2578125
23609.541015625,23605.31640625,23621.74609375,23623.154296875,23611.6875,23595.861328125,23592.978515625,23588.888671875
23603.171875,23610.279296875,23609.474609375,23604.982421875,23610.748046875,23608.46875,23602.8359375,23595.056640625
19257.791015625,19266.708984375,19274.0859375,19274.421875,19263.357421875,19267.916015625,19272.87890625,19272.744140625
19262.216796875,19265.904296875,19277.640625,19264.162109375,19277.7734375,19285.484375,19293.732421875,19296.951171875
-417.1505432128906,-396.8998718261719,-373.8328857421875,-377.7891540527344,-410.17681884765625,-430.4945373535156,-427.2088317871094,-401.6607971191406
-411.3838195800781,-404.4100646972656,-387.71331787109375,-385.9698791503906,-364.5792541503906,-368.7366943359375,-372.89410400390625,-387.71331787109375
-14046.4599609375,-13958.08203125,-13885.259765625,-13924.0849609375,-14013.603515625,-13948.8955078125,-13855.8896484375,-13886.869140625
-13996.638671875,-13980.142578125,-13874.12890625,-13860.046875,-13951.30859375,-13974.509765625,-13865.076171875,-13823.166015625
10793.7451171875,10792.806640625,10800.5185546875,10804.8095703125,10796.62890625,10794.4833984375,10794.1474609375,10795.0869140625
10792.9404296875,10795.623046875,10799.5791015625,10782.345703125,10802.126953125,10813.19140625,10809.90625,10807.89453125
-1173.6676025390625,-1086.093505859375,-1043.6475830078125,-1102.52197265625,-1154.758056640625,-1190.7667236328125,-1174.8746337890625,-1146.1749267578125
-1200.5567626953125,-1174.539306640625,-1147.31494140625,-1132.965087890625,-1092.93310546875,-1110.769775390625,-1149.7958984375,-1169.3760986328125
18636.927734375,18647.521484375,18652.349609375,18662.005859375,18664.353515625,18667.5703125,18659.859375,18658.51953125
18658.18359375,18663.8828125,18665.0234375,18656.5078125,18683.732421875,18702.91015625,18698.88671875,18694.259765625
24110.109375,24122.513671875,24130.0234375,24138.47265625,24139.478515625,24144.775390625,24133.2421875,24133.712890625
24134.115234375,24136.529296875,24136.259765625,24118.22265625,24139.412109375,24156.376953125,24152.353515625,24143.099609375
23598.8125,23601.62890625,23605.048828125,23609.20703125,23605.25,23607.060546875,23597.5390625,23596.3984375
23597.13671875,23603.3046875,23606.658203125,23586.7421875,23606.79296875,23626.775390625,23625.568359375,23617.85546875
19289.240234375,19279.44921875,19290.111328125,19300.908203125,19293.330078125,19277.3046875,19270.8671875,19296.080078125
19296.548828125,19281.595703125,19280.791015625,19281.4609375,19285.484375,19287.294921875,19289.642578125,19281.662109375
-406.4217224121094,-400.1185302734375,-373.7658386230469,-351.3023376464844,-374.3022766113281,-384.2934875488281,-378.4596862792969,-356.13031005859375
-345.2673645019531,-382.21478271484375,-392.5412902832031,-384.0252685546875,-374.3022766113281,-381.8795166015625,-371.7541809082031,-369.8095703125
-13894.982421875,-13940.7138671875,-13847.306640625,-13781.390625,-13839.5947265625,-13936.2216796875,-13885.86328125,-13762.146484375
-13766.03515625,-13865.6796875,-13862.4609375,-13756.1787109375,-13745.650390625,-13833.626953125,-13867.087890625,-13782.59765625
10807.0224609375,10805.94921875,10812.5205078125,10812.0517578125,10806.3515625,10799.7802734375,10788.783203125,10803.46875
10802.328125,10799.244140625,10799.5126953125,10790.392578125,10796.830078125,10810.8447265625,10818.421875,10800.7197265625
-1199.9532470703125,-1141.3470458984375,-1101.2479248046875,-1121.2974853515625,-1159.1165771484375,-1155.4285888671875,-1107.7523193359375,-1071.8778076171875
-1077.443359375,-1166.2244873046875,-1176.551025390625,-1148.052490234375,-1123.30908203125,-1124.6502685546875,-1113.385009765625,-1112.71435546875
18694.59375,18698.55078125,18709.48046875,18711.15625,18713.705078125,18714.64453125,18709.615234375,18725.037109375
18735.162109375,18734.291015625,18735.564453125,18732.212890625,18738.11328125,18755.615234375,18765.47265625,18750.384765625
24136.259765625,24135.388671875,24136.998046875,24134.046875,24125.330078125,24120.970703125,24106.5546875,24115.80859375
24118.154296875,24109.638671875,24108.90234375,24096.02734375,24092.80859375,24102.12890625,24107.494140625,24087.578125
23613.095703125,23612.759765625,23619.46484375,23622.884765625,23617.923828125,23618.794921875,23608.06640625,23622.751953125
23624.6953125,23618.9296875,23622.6171875,23615.978515625,23618.728515625,23635.15625,23645.751953125,23633.078125
19286.69140625,19287.83203125,19273.080078125,19269.123046875,19286.826171875,19285.8203125,19281.595703125,19281.998046875
19294.537109375,19292.861328125,19289.306640625,19276.634765625,19285.150390625,19294.134765625,19278.109375,19266.0390625
-376.91741943359375,-373.4305419921875,-401.05731201171875,-403.60540771484375,-386.03692626953125,-376.04571533203125,-383.89117431640625,-390.5296325683594
-383.5558776855469,-384.96405029296875,-381.34307861328125,-395.2235107421875,-400.9231872558594,-387.0427551269531,-393.0777282714844,-402.8007507324219
-13729.2890625,-13806.537109375,-13890.087890625,-13833.9619140625,-13746.9921875,-13780.1171875,-13878.3525390625,-13837.248046875
-13736.1962890625,-13749.5400390625,-13839.86328125,-13858.1025390625,-13772.271484375,-13734.6533203125,-13824.2392578125,-13863.6005859375
10802.931640625,10815.806640625,10807.6259765625,10798.3056640625,10810.107421875,10815.404296875,10817.5498046875,10814.0634765625
10816.7451171875,10814.3310546875,10820.0986328125,10808.498046875,10812.185546875,10814.197265625,10802.328125,10794.1474609375
-1138.1282958984375,-1117.9447021484375,-1174.0029296875,-1155.6297607421875,-1154.4898681640625,-1134.2391357421875,-1159.9212646484375,-1207.128173828125
-1188.9561767578125,-1174.2041015625,-1147.5831298828125,-1151.9417724609375,-1164.4139404296875,-1130.2828369140625,-1094.14013671875,-1124.91845703125
18740.86328125,18749.580078125,18745.892578125,18727.921875,18736.369140625,18749.177734375,18752.060546875,18757.4921875
18754.2734375,18756.955078125,18775.6640625,18774.859375,18762.65625,18765.271484375,18763.259765625,18759.1015625
24079.396484375,24085.029296875,24075.9765625,24062.029296875,24069.541015625,24076.111328125,24083.15234375,24087.376953125
24087.779296875,24081.9453125,24091.802734375,24081.9453125,24076.177734375,24078.2578125,24071.484375,24068.400390625
23630.798828125,23638.576171875,23634.28515625,23625.298828125,23634.955078125,23639.447265625,23647.29296875,23650.646484375
23650.712890625,23642.935546875,23652.12109375,23642.734375,23643.26953125,23647.62890625,23636.02734375,23635.55859375
19276.43359375,19288.30078125,19284.61328125,19279.248046875,19293.330078125,19301.443359375,19285.150390625,19261.412109375
19273.482421875,19290.447265625,19286.625,19280.65625,19278.109375,19277.908203125,19288.837890625,19286.357421875
-381.7453918457031,-381.0077819824219,-401.1243591308594,-408.3663330078125,-386.3051452636719,-372.2235412597656,-397.90570068359375,-433.51202392578125
-384.6287841796875,-368.20025634765625,-388.8532409667969,-393.4129943847656,-387.3780517578125,-372.4917907714844,-369.8766174316406,-379.5996398925781
-13759.8662109375,-13712.7265625,-13779.916015625,-13847.57421875,-13776.9658203125,-13697.37109375,-13752.087890625,-13870.6416015625
-13824.171875,-13724.9306640625,-13729.3564453125,-13818.875,-13831.548828125,-13738.341796875,-13699.248046875,-13786.6884765625
10798.640625,10801.3232421875,10802.9990234375,10806.6875,10813.9287109375,10816.5439453125,10803.9375,10788.314453125
10803.1328125,10812.5205078125,10807.0224609375,10811.515625,10808.36328125,10795.3544921875,10803.8037109375,10809.0341796875
-1116.067138671875,-1100.9127197265625,-1134.775634765625,-1169.644287109375,-1126.9971923828125,-1090.385009765625,-1147.046630859375,-1221.209716796875
-1141.6822509765625,-1108.4228515625,-1127.3323974609375,-1143.358642578125,-1142.151611328125,-1095.9505615234375,-1093.4696044921875,-1097.42578125
18762.72265625,18762.521484375,18766.27734375,18777.005859375,18789.076171875,18786.794921875,18778.279296875,18770.501953125
18781.029296875,18780.693359375,18780.0234375,18794.640625,18805.705078125,18790.08203125,18793.43359375,18809.662109375
24068.869140625,24064.578125,24064.109375,24072.22265625,24084.76171875,24080.40234375,24065.31640625,24051.97265625
24066.322265625,24071.283203125,24065.3828125,24074.234375,24077.787109375,24060.353515625,24063.3046875,24065.71875
23642.0625,23638.44140625,23637.234375,23645.6171875,23658.291015625,23655.67578125,23643.203125,23630.6640625
23648.03125,23657.150390625,23648.568359375,23651.31640625,23655.40625,23642.8671875,23651.048828125,23660.033203125
19264.4296875,19266.375,19271.068359375,19269.525390625,19276.09765625,19290.6484375,19288.837890625,19283.00390625
19271.873046875,19266.84375,19283.541015625,19288.16796875,19274.5546875,19272.54296875,19276.1640625,19290.380859375
