CP3,C3,F5,PO3,PO4,F6,C4,CP4
10066.732421875,9787.6484375,10298.2744140625,10400.1982421875,10202.4521484375,9818.9638671875,10188.7734375,10433.5244140625
-1332.856689453125,-1213.4984130859375,-201.29978942871094,-113.591552734375,-1038.819580078125,-1518.5997314453125,-351.8387756347656,-97.83357238769531
-691.4735107421875,-1642.5848388671875,-669.3452758789062,-104.00265502929688,-371.41888427734375,-1465.3577880859375,-974.446533203125,-160.865478515625
-720.575439453125,-1453.287841796875,-1240.5887451171875,-954.3299560546875,-374.6375427246094,-1386.031494140625,-1210.7491455078125,-1137.055419921875
-248.64077758789062,-1211.419677734375,-1237.5712890625,-1251.116455078125,-385.83575439453125,-888.2805786132812,-1341.3726806640625,-1267.0755615234375
-31965.76171875,-31992.25,-31933.107421875,-31872.421875,-31910.912109375,-31992.78515625,-31928.748046875,-31902.328125
-31867.9296875,-31989.365234375,-31920.09765625,-31886.234375,-31801.34375,-31896.427734375,-31887.44140625,-31871.75
-17199.46484375,-17155.744140625,-16956.724609375,-16928.025390625,-17090.767578125,-17218.642578125,-16996.0859375,-16945.99609375
-17017.611328125,-17266.251953125,-17038.46484375,-16956.322265625,-16957.998046875,-17224.609375,-17103.57421875,-16961.685546875
-178.97039794921875,-843.1524047851562,-850.7296142578125,-183.26193237304688,-121.77229309082031,-659.2199096679688,-971.697265625,-281.3637390136719
-88.71406555175781,-462.0775451660156,-1036.9420166015625,-464.9609375,-75.2359619140625,-279.8214416503906,-955.4699096679688,-673.4356079101562
2.078711986541748,-993.2890625,-1022.323974609375,-5.833804607391357,68.39633178710938,-689.797119140625,-1229.5916748046875,-169.11328125
117.54781341552734,-374.70458984375,-1300.9384765625,-447.3254089355469,137.3961639404297,-87.17179107666016,-1173.332275390625,-757.5899658203125
-103.73443603515625,-1594.036865234375,-2351.425537109375,-758.7969360351562,-107.55657958984375,-1072.95068359375,-2502.165771484375,-1118.212890625
-170.92376708984375,-585.5262451171875,-2410.568359375,-1586.928955078125,-282.906005859375,-219.136474609375,-1996.3011474609375,-2045.05029296875
